metric,signal_strategy,hodl_benchmark
round_trips,67,
win_rate,56.7164,
invested,808573.1157,3450.7322
final_value,102248.8314,101052.3713
pnl,2248.8314,1052.3713
pnl_pct,2.2488,1.0524
max_drawdown_pct,4.7021,0
days,30,30
