timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-08-29T07:03:18+00:00,RIFINR,buy,7.394695,810.00000000,5989.70,5.99,0.00,
2026-08-29T09:14:09+00:00,ONDOINR,buy,35.081532,68.40000000,2399.58,2.40,0.00,
2026-08-29T09:14:09+00:00,ALTINR,buy,0.641020,1498.00000000,960.25,0.96,0.00,
2026-08-29T14:37:30+00:00,ALTINR,sell,0.615692,1498.00000000,922.31,0.92,9.22,-39.82
2026-08-30T00:33:57+00:00,RIFINR,sell,7.140428,810.00000000,5783.75,5.78,57.84,-257.55
2026-08-30T05:43:45+00:00,POLYXINR,buy,3.544771,1229.89030000,4359.68,4.36,0.00,
2026-08-30T05:43:45+00:00,GASINR,buy,132.370152,13.17420000,1743.87,1.74,0.00,
2026-08-30T05:43:45+00:00,ALTINR,buy,0.638319,1092.00000000,697.04,0.70,0.00,
2026-08-30T12:07:48+00:00,GASINR,sell,125.341298,13.17420000,1651.27,1.65,16.51,-353.55
2026-08-30T12:07:48+00:00,ALTINR,sell,0.618191,1092.00000000,675.06,0.68,6.75,-376.9
2026-08-30T12:07:48+00:00,POLYXINR,sell,3.377311,1229.89030000,4153.72,4.15,41.54,-591.37
