timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-09-09T22:45:01+00:00,ONDOINR,sell,35.678152,15.90000000,567.28,0.57,5.67,-104.54
2026-09-09T22:45:01+00:00,CAKEINR,sell,220.869510,3.68000000,812.80,0.81,8.13,-133.15
2026-09-09T22:45:01+00:00,APTINR,sell,62.518725,10.18000000,636.44,0.64,6.36,-170.33
2026-09-09T22:45:01+00:00,DOGEINR,sell,8.539228,60.00000000,512.35,0.51,5.12,-195.49
2026-09-09T22:45:01+00:00,JUPINR,buy,23.365677,44.00000000,1028.09,1.03,0.00,
2026-09-09T22:45:01+00:00,ARBINR,buy,15.205599,54.10000000,822.62,0.82,0.00,
2026-09-09T22:45:01+00:00,FARTCOININR,buy,14.679336,44.85000000,658.37,0.66,0.00,
2026-09-09T22:45:01+00:00,FILINR,sell,80.009975,6.55000000,524.07,0.52,5.24,-225.33
2026-09-09T22:45:01+00:00,ORCAINR,buy,144.402165,4.36000000,629.59,0.63,0.00,
2026-09-09T22:45:01+00:00,GASINR,buy,124.769353,4.04230000,504.36,0.50,0.00,
2026-09-09T22:45:01+00:00,SEIINR,sell,4.700249,124.00000000,582.83,0.58,5.83,-245.15
2026-09-09T22:45:01+00:00,RIFINR,sell,7.447274,71.00000000,528.76,0.53,5.29,-264.3
2026-09-09T22:45:01+00:00,APEINR,buy,14.185089,43.92000000,623.01,0.62,0.00,
2026-09-09T22:45:02+00:00,HMSTRINR,sell,0.015853,32244.00000000,511.17,0.51,5.11,-309.88
2026-09-09T22:45:02+00:00,ONEINR,buy,0.066043,9078.00000000,599.54,0.60,0.00,
2026-09-10T01:24:31+00:00,ICPINR,sell,274.652605,2.01000000,552.05,0.55,5.52,-328.47
2026-09-10T01:24:31+00:00,DOTINR,buy,110.886415,5.30920000,588.72,0.59,0.00,
2026-09-10T06:18:06+00:00,GASINR,sell,120.736602,4.04230000,488.05,0.49,4.88,-345.76
