timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-08-28T18:12:46+00:00,ETHINR,buy,245496.186750,0.01220000,2995.05,3.00,0.00,
2026-08-28T18:12:46+00:00,SOLINR,buy,10522.058400,0.19900000,2093.89,2.09,0.00,
2026-08-28T18:12:46+00:00,BNBINR,buy,69505.235250,0.02100000,1459.61,1.46,0.00,
2026-08-28T18:12:46+00:00,USDTINR,buy,100.090020,10.31000000,1031.93,1.03,0.00,
2026-08-28T18:12:46+00:00,TRUMPINR,buy,274.267065,2.63500000,722.69,0.72,0.00,
2026-08-28T18:12:46+00:00,LINKINR,buy,1155.917670,0.43000000,497.04,0.50,0.00,
2026-08-28T18:57:53+00:00,TRUMPINR,sell,257.011430,2.63500000,677.23,0.68,6.77,-46.87
2026-08-28T18:57:53+00:00,ICPINR,buy,237.308595,2.34000000,555.30,0.56,0.00,
