timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-09-09T17:10:58+00:00,XDBINR,buy,0.007242,93296.00000000,675.61,0.68,0.00,
2026-09-09T22:49:25+00:00,SOLINR,sell,10053.270850,0.07800000,784.16,0.78,7.84,-713.74
2026-09-09T22:49:25+00:00,NEARINR,buy,245.992935,2.80000000,688.78,0.69,0.00,
2026-09-09T22:49:25+00:00,ADAINR,sell,20.942524,27.60000000,578.01,0.58,5.78,-740.51
2026-09-09T22:49:25+00:00,TRXINR,buy,33.766875,19.80000000,668.58,0.67,0.00,
2026-09-09T22:49:25+00:00,APTINR,sell,62.518725,8.50000000,531.41,0.53,5.31,-754.88
2026-09-09T22:49:25+00:00,DOGEINR,sell,8.539228,70.00000000,597.75,0.60,5.98,-784.58
2026-09-09T22:49:25+00:00,JUPINR,sell,22.972508,26.20000000,601.88,0.60,6.02,-826.67
2026-09-09T22:49:25+00:00,ORCAINR,sell,140.059935,4.74000000,663.88,0.66,6.64,-862.93
2026-09-09T22:49:25+00:00,XDBINR,sell,0.007040,93296.00000000,656.85,0.66,6.57,-883.03
2026-09-09T22:49:26+00:00,POLYXINR,buy,3.697848,371.57440000,1374.03,1.37,0.00,
2026-09-10T01:33:16+00:00,BTCINR,buy,7810722.609600,0.00012000,937.29,0.94,0.00,
2026-09-10T01:33:16+00:00,ETHINR,buy,247049.062800,0.00270000,667.03,0.67,0.00,
2026-09-10T01:33:18+00:00,POLYXINR,sell,3.618190,371.57440000,1344.43,1.34,13.44,-915.35
2026-09-10T06:24:46+00:00,SOLINR,buy,10183.789350,0.08600000,875.81,0.88,0.00,
2026-09-10T06:24:46+00:00,RENDERINR,sell,145.187370,5.18000000,752.07,0.75,7.52,-896.54
2026-09-10T06:24:46+00:00,ADAINR,buy,21.458724,39.10000000,839.04,0.84,0.00,
2026-09-10T06:24:46+00:00,CAKEINR,sell,216.661615,3.40000000,736.65,0.74,7.37,-923.37
2026-09-10T06:24:46+00:00,ORCAINR,buy,144.752340,5.56000000,804.82,0.80,0.00,
2026-09-10T06:24:46+00:00,RIFINR,buy,7.687842,73.00000000,561.21,0.56,0.00,
2026-09-10T23:07:35+00:00,SOLINR,sell,9924.035500,0.08600000,853.47,0.85,8.53,-947.44
2026-09-10T23:07:35+00:00,ICPINR,buy,280.019940,2.31000000,646.85,0.65,0.00,
2026-09-10T23:07:35+00:00,ADAINR,sell,20.760615,39.10000000,811.74,0.81,8.12,-976.39
2026-09-10T23:07:35+00:00,FILINR,sell,78.180890,7.38000000,576.97,0.58,5.77,-996.38
2026-09-10T23:07:35+00:00,ORCAINR,sell,138.100915,5.56000000,767.84,0.77,7.68,-1034.93
2026-09-10T23:07:35+00:00,BRISEINR,buy,0.000002,689532821.00000000,1094.15,1.09,0.00,
2026-09-10T23:07:36+00:00,XDBINR,buy,0.009508,80555.70000000,765.90,0.77,0.00,
2026-09-10T23:07:36+00:00,GASINR,buy,121.885912,4.39860000,536.13,0.54,0.00,
2026-09-11T06:46:28+00:00,XDBINR,sell,0.008817,80555.70000000,710.23,0.71,7.10,-1092.08
2026-09-11T17:22:09+00:00,BNBINR,buy,73158.160800,0.00800000,585.27,0.59,0.00,
2026-09-11T20:24:09+00:00,ICPINR,sell,272.363750,2.31000000,629.16,0.63,6.29,-1111.04
2026-09-11T20:24:09+00:00,TRBINR,buy,1763.181150,0.33800000,595.96,0.60,0.00,
2026-09-11T23:05:17+00:00,NEARINR,sell,239.770055,2.80000000,671.36,0.67,6.71,-1129.83
2026-09-11T23:05:17+00:00,TRUMPINR,buy,197.418660,3.12400000,616.74,0.62,0.00,
2026-09-11T23:05:17+00:00,TRBINR,sell,1699.249950,0.33800000,574.35,0.57,5.74,-1152.61
2026-09-11T23:05:17+00:00,ADAINR,buy,20.583286,29.20000000,601.03,0.60,0.00,
2026-09-11T23:05:18+00:00,BRISEINR,sell,0.000002,689532821.00000000,1068.17,1.07,10.68,-1180.74
2026-09-11T23:05:18+00:00,BOMEINR,buy,0.085323,8654.00000000,738.38,0.74,0.00,
2026-09-11T23:05:18+00:00,ALTINR,buy,0.630815,819.00000000,516.64,0.52,0.00,
2026-09-12T01:52:52+00:00,ALTINR,sell,0.616592,819.00000000,504.99,0.50,5.05,-1193.41
2026-09-12T01:52:52+00:00,ONEINR,buy,0.068244,7496.70000000,511.61,0.51,0.00,
2026-09-13T18:15:58+00:00,BOMEINR,sell,0.082978,8654.00000000,718.10,0.72,7.18,-1215.16
2026-09-13T18:15:58+00:00,PENGUINR,buy,0.733647,778.00000000,570.78,0.57,0.00,
2026-09-14T07:12:02+00:00,PENGUINR,sell,0.709695,778.00000000,552.14,0.55,5.52,-1234.91
2026-09-14T07:12:02+00:00,CHILLGUYINR,buy,1.257528,448.00000000,563.37,0.56,0.00,
2026-09-14T14:45:40+00:00,BNBINR,sell,71666.948600,0.00800000,573.34,0.57,5.73,-1248.0
2026-09-14T14:45:40+00:00,SOLINR,buy,10188.491700,0.05500000,560.37,0.56,0.00,
2026-09-14T14:45:40+00:00,CHILLGUYINR,sell,1.219390,448.00000000,546.29,0.55,5.46,-1266.2
2026-09-14T14:45:40+00:00,BRISEINR,buy,0.000002,350080289.00000000,558.13,0.56,0.00,
2026-09-14T19:59:51+00:00,USDTINR,sell,99.440255,5.74000000,570.79,0.57,5.71,-1266.13
2026-09-14T19:59:51+00:00,XRPINR,buy,145.325626,3.80000000,552.24,0.55,0.00,
2026-09-14T23:46:49+00:00,XRPINR,sell,141.923003,3.80000000,539.31,0.54,5.39,-1280.15
2026-09-14T23:46:49+00:00,LINKINR,buy,1158.158790,0.47000000,544.33,0.54,0.00,
2026-09-15T18:33:54+00:00,BTCINR,sell,7599474.162100,0.00012000,911.94,0.91,9.12,-1307.35
2026-09-15T18:33:54+00:00,ETHINR,sell,241335.172050,0.00270000,651.60,0.65,6.52,-1324.1
2026-09-15T18:33:54+00:00,BNBINR,buy,71893.328700,0.01100000,790.83,0.79,0.00,
2026-09-15T18:33:54+00:00,SOLINR,sell,9890.052500,0.05500000,543.95,0.54,5.44,-1341.61
2026-09-15T18:33:54+00:00,USDTINR,buy,99.749850,7.80000000,778.05,0.78,0.00,
2026-09-15T18:33:54+00:00,XRPINR,buy,138.951441,3.90000000,541.91,0.54,0.00,
2026-09-15T18:33:54+00:00,LINKINR,sell,1119.440000,0.47000000,526.14,0.53,5.26,-1360.88
2026-09-15T18:33:54+00:00,NEARINR,buy,238.449165,2.20000000,524.59,0.52,0.00,
2026-09-15T18:33:54+00:00,ADAINR,sell,19.990000,29.20000000,583.71,0.58,5.84,-1379.39
2026-09-15T18:33:54+00:00,CAKEINR,buy,226.933410,2.44000000,553.72,0.55,0.00,
2026-09-15T18:33:54+00:00,TRXINR,sell,32.989497,19.80000000,653.19,0.65,6.53,-1396.11
2026-09-15T18:33:54+00:00,ARBINR,buy,14.586289,39.80000000,580.53,0.58,0.00,
