account,name,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct
acc_091,e30_x64_tp10_sl3.0_p30,30,64,10,3,30
acc_092,e30_x68_tp3_sl1.0_p20,30,68,3,1,20
acc_093,e30_x68_tp4_sl1.5_p20,30,68,4,1.5,20
acc_094,e30_x68_tp5_sl1.5_p60,30,68,5,1.5,60
acc_095,e30_x68_tp6_sl2.0_p60,30,68,6,2,60
acc_096,e30_x68_tp8_sl3.0_p60,30,68,8,3,60
acc_097,e30_x68_tp12_sl1.0_p50,30,68,12,1,50
acc_098,e30_x72_tp3_sl1.5_p50,30,72,3,1.5,50
acc_099,e30_x72_tp4_sl2.0_p50,30,72,4,2,50
acc_100,e30_x72_tp5_sl3.0_p40,30,72,5,3,40
acc_101,e30_x72_tp8_sl1.0_p40,30,72,8,1,40
acc_102,e30_x72_tp10_sl1.5_p30,30,72,10,1.5,30
acc_103,e30_x72_tp12_sl2.0_p30,30,72,12,2,30
acc_104,e30_x76_tp3_sl3.0_p30,30,76,3,3,30
acc_105,e30_x76_tp5_sl1.0_p20,30,76,5,1,20
acc_106,e30_x76_tp6_sl1.5_p20,30,76,6,1.5,20
acc_107,e30_x76_tp8_sl2.0_p20,30,76,8,2,20
acc_108,e30_x76_tp10_sl2.0_p60,30,76,10,2,60
acc_109,e30_x76_tp12_sl3.0_p60,30,76,12,3,60
acc_110,e30_x80_tp4_sl1.0_p50,30,80,4,1,50
acc_111,e30_x80_tp5_sl1.5_p50,30,80,5,1.5,50
acc_112,e30_x80_tp6_sl2.0_p50,30,80,6,2,50
acc_113,e30_x80_tp8_sl3.0_p40,30,80,8,3,40
acc_114,e30_x80_tp12_sl1.0_p40,30,80,12,1,40
acc_115,e33_x64_tp3_sl1.5_p30,33,64,3,1.5,30
acc_116,e33_x64_tp4_sl2.0_p30,33,64,4,2,30
acc_117,e33_x64_tp5_sl3.0_p30,33,64,5,3,30
acc_118,e33_x64_tp8_sl1.0_p20,33,64,8,1,20
acc_119,e33_x64_tp10_sl1.5_p20,33,64,10,1.5,20
acc_120,e33_x64_tp12_sl2.0_p20,33,64,12,2,20
acc_121,e33_x68_tp3_sl2.0_p60,33,68,3,2,60
acc_122,e33_x68_tp4_sl3.0_p60,33,68,4,3,60
acc_123,e33_x68_tp6_sl1.0_p50,33,68,6,1,50
acc_124,e33_x68_tp8_sl1.5_p50,33,68,8,1.5,50
acc_125,e33_x68_tp10_sl2.0_p50,33,68,10,2,50
acc_126,e33_x68_tp12_sl3.0_p40,33,68,12,3,40
acc_127,e33_x72_tp4_sl1.0_p40,33,72,4,1,40
acc_128,e33_x72_tp5_sl1.5_p30,33,72,5,1.5,30
acc_129,e33_x72_tp6_sl2.0_p30,33,72,6,2,30
acc_130,e33_x72_tp8_sl3.0_p30,33,72,8,3,30
acc_131,e33_x72_tp12_sl1.0_p20,33,72,12,1,20
acc_132,e33_x76_tp3_sl1.5_p20,33,76,3,1.5,20
acc_133,e33_x76_tp4_sl2.0_p20,33,76,4,2,20
acc_134,e33_x76_tp5_sl2.0_p60,33,76,5,2,60
acc_135,e33_x76_tp6_sl3.0_p60,33,76,6,3,60
acc_136,e33_x76_tp10_sl1.0_p50,33,76,10,1,50
acc_137,e33_x76_tp12_sl1.5_p50,33,76,12,1.5,50
acc_138,e33_x80_tp3_sl2.0_p50,33,80,3,2,50
acc_139,e33_x80_tp4_sl3.0_p40,33,80,4,3,40
acc_140,e33_x80_tp6_sl1.0_p40,33,80,6,1,40
acc_141,e33_x80_tp8_sl1.5_p40,33,80,8,1.5,40
acc_142,e33_x80_tp10_sl2.0_p30,33,80,10,2,30
acc_143,e33_x80_tp12_sl3.0_p30,33,80,12,3,30
acc_144,e36_x64_tp4_sl1.0_p20,36,64,4,1,20
acc_145,e36_x64_tp5_sl1.5_p20,36,64,5,1.5,20
acc_146,e36_x64_tp6_sl2.0_p20,36,64,6,2,20
acc_147,e36_x64_tp8_sl2.0_p60,36,64,8,2,60
acc_148,e36_x64_tp10_sl3.0_p60,36,64,10,3,60
acc_149,e36_x68_tp3_sl1.0_p50,36,68,3,1,50
acc_150,e36_x68_tp4_sl1.5_p50,36,68,4,1.5,50
acc_151,e36_x68_tp5_sl2.0_p50,36,68,5,2,50
acc_152,e36_x68_tp6_sl3.0_p40,36,68,6,3,40
acc_153,e36_x68_tp10_sl1.0_p40,36,68,10,1,40
acc_154,e36_x68_tp12_sl1.5_p40,36,68,12,1.5,40
acc_155,e36_x72_tp3_sl2.0_p30,36,72,3,2,30
acc_156,e36_x72_tp4_sl3.0_p30,36,72,4,3,30
acc_157,e36_x72_tp6_sl1.0_p20,36,72,6,1,20
acc_158,e36_x72_tp8_sl1.5_p20,36,72,8,1.5,20
acc_159,e36_x72_tp10_sl2.0_p20,36,72,10,2,20
acc_160,e36_x72_tp12_sl2.0_p60,36,72,12,2,60
acc_161,e36_x76_tp3_sl3.0_p60,36,76,3,3,60
acc_162,e36_x76_tp5_sl1.0_p60,36,76,5,1,60
acc_163,e36_x76_tp6_sl1.5_p50,36,76,6,1.5,50
acc_164,e36_x76_tp8_sl2.0_p50,36,76,8,2,50
acc_165,e36_x76_tp10_sl3.0_p40,36,76,10,3,40
acc_166,e36_x80_tp3_sl1.0_p40,36,80,3,1,40
acc_167,e36_x80_tp4_sl1.5_p40,36,80,4,1.5,40
acc_168,e36_x80_tp5_sl2.0_p30,36,80,5,2,30
acc_169,e36_x80_tp6_sl3.0_p30,36,80,6,3,30
acc_170,e36_x80_tp10_sl1.0_p20,36,80,10,1,20
acc_171,e36_x80_tp12_sl1.5_p20,36,80,12,1.5,20
acc_172,e40_x64_tp3_sl2.0_p20,40,64,3,2,20
acc_173,e40_x64_tp4_sl2.0_p60,40,64,4,2,60
acc_174,e40_x64_tp5_sl3.0_p60,40,64,5,3,60
acc_175,e40_x64_tp8_sl1.0_p60,40,64,8,1,60
acc_176,e40_x64_tp10_sl1.5_p50,40,64,10,1.5,50
acc_177,e40_x64_tp12_sl2.0_p50,40,64,12,2,50
acc_178,e40_x68_tp3_sl3.0_p40,40,68,3,3,40
acc_179,e40_x68_tp5_sl1.0_p40,40,68,5,1,40
acc_180,e40_x68_tp6_sl1.5_p40,40,68,6,1.5,40
acc_181,e40_x68_tp8_sl2.0_p30,40,68,8,2,30
acc_182,e40_x68_tp10_sl3.0_p30,40,68,10,3,30
acc_183,e40_x72_tp3_sl1.0_p20,40,72,3,1,20
acc_184,e40_x72_tp4_sl1.5_p20,40,72,4,1.5,20
acc_185,e40_x72_tp5_sl2.0_p20,40,72,5,2,20
acc_186,e40_x72_tp6_sl2.0_p60,40,72,6,2,60
acc_187,e40_x72_tp8_sl3.0_p60,40,72,8,3,60
acc_188,e40_x72_tp12_sl1.0_p60,40,72,12,1,60
acc_189,e40_x76_tp3_sl1.5_p50,40,76,3,1.5,50
acc_190,e40_x76_tp4_sl2.0_p50,40,76,4,2,50
acc_191,e40_x76_tp5_sl3.0_p40,40,76,5,3,40
acc_192,e40_x76_tp8_sl1.0_p40,40,76,8,1,40
acc_193,e40_x76_tp10_sl1.5_p40,40,76,10,1.5,40
acc_194,e40_x76_tp12_sl2.0_p30,40,76,12,2,30
acc_195,e40_x80_tp3_sl3.0_p30,40,80,3,3,30
acc_196,e40_x80_tp5_sl1.0_p30,40,80,5,1,30
acc_197,e40_x80_tp6_sl1.5_p20,40,80,6,1.5,20
acc_198,e40_x80_tp8_sl2.0_p20,40,80,8,2,20
acc_199,e40_x80_tp10_sl2.0_p60,40,80,10,2,60
acc_200,e40_x80_tp12_sl3.0_p60,40,80,12,3,60
