rank,account,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,value_inr,cash_inr,holdings_inr,realized_pnl_inr,trades
70,acc_070,28.0,72.0,3.0,3.0,60.0,10000.0,10000.0,0,0.0,0
71,acc_071,28.0,72.0,5.0,1.0,50.0,10000.0,10000.0,0,0.0,0
72,acc_072,28.0,72.0,6.0,1.5,50.0,10000.0,10000.0,0,0.0,0
73,acc_073,28.0,72.0,8.0,2.0,50.0,10000.0,10000.0,0,0.0,0
74,acc_074,28.0,72.0,10.0,3.0,40.0,10000.0,10000.0,0,0.0,0
75,acc_075,28.0,76.0,3.0,1.0,40.0,10000.0,10000.0,0,0.0,0
76,acc_076,28.0,76.0,4.0,1.5,30.0,10000.0,10000.0,0,0.0,0
77,acc_077,28.0,76.0,5.0,2.0,30.0,10000.0,10000.0,0,0.0,0
78,acc_078,28.0,76.0,6.0,3.0,30.0,10000.0,10000.0,0,0.0,0
79,acc_079,28.0,76.0,10.0,1.0,20.0,10000.0,10000.0,0,0.0,0
80,acc_080,28.0,76.0,12.0,1.5,20.0,10000.0,10000.0,0,0.0,0
81,acc_081,28.0,80.0,3.0,1.5,60.0,10000.0,10000.0,0,0.0,0
82,acc_082,28.0,80.0,4.0,2.0,60.0,10000.0,10000.0,0,0.0,0
83,acc_083,28.0,80.0,5.0,3.0,60.0,10000.0,10000.0,0,0.0,0
84,acc_084,28.0,80.0,8.0,1.0,50.0,10000.0,10000.0,0,0.0,0
85,acc_085,28.0,80.0,10.0,1.5,50.0,10000.0,10000.0,0,0.0,0
86,acc_086,28.0,80.0,12.0,2.0,50.0,10000.0,10000.0,0,0.0,0
87,acc_087,30.0,64.0,3.0,3.0,40.0,10000.0,10000.0,0,0.0,0
88,acc_088,30.0,64.0,5.0,1.0,40.0,10000.0,10000.0,0,0.0,0
89,acc_089,30.0,64.0,6.0,1.5,30.0,10000.0,10000.0,0,0.0,0
90,acc_090,30.0,64.0,8.0,2.0,30.0,10000.0,10000.0,0,0.0,0
91,acc_091,30.0,64.0,10.0,3.0,30.0,10000.0,10000.0,0,0.0,0
92,acc_092,30.0,68.0,3.0,1.0,20.0,10000.0,10000.0,0,0.0,0
93,acc_093,30.0,68.0,4.0,1.5,20.0,10000.0,10000.0,0,0.0,0
94,acc_094,30.0,68.0,5.0,1.5,60.0,10000.0,10000.0,0,0.0,0
95,acc_095,30.0,68.0,6.0,2.0,60.0,10000.0,10000.0,0,0.0,0
96,acc_096,30.0,68.0,8.0,3.0,60.0,10000.0,10000.0,0,0.0,0
