date,acc_418,acc_399,acc_300,acc_122,acc_317,acc_475,acc_296,acc_157,acc_101,acc_125,hodl
2026-07-30,10008.67,10008.67,10000.97,10030.15,10025.55,10028.29,10030.92,10062.39,10063.82,10045.9,10104.86
2026-07-30,9954.52,9954.52,9945.32,10032.06,9976.06,10002.01,9990.43,10050.01,10048.35,10051.02,10104.86
2026-07-30,9967.51,9967.51,9972.72,10063.61,9984.63,10001.3,9991.95,10111.98,10047.41,10080.76,10104.86
2026-07-30,9967.28,9967.28,9972.2,10044.85,9989.25,10007.15,9997.49,10103.79,10073.44,10057.67,10104.86
2026-07-30,9983.91,9983.91,9987.41,10081.62,9996.19,10016.49,10010.16,10123.77,10062.83,10088.93,10104.86
2026-07-30,9932.86,9932.86,9925.28,10019.46,9949.27,9975.45,9966.46,10120.5,10062.83,10035.24,10104.86
2026-07-30,9952.89,9952.89,9945.79,10037.7,9967.74,9999.26,9989.62,10158.88,10062.83,10044.78,10104.86
2026-07-30,9947.39,9947.39,9937.77,10027.29,9965.16,9982.32,9977.8,10141.43,10062.83,10044.78,10104.86
2026-07-30,9954.97,9954.97,9957.54,10035.05,9967.96,9977.21,9976.03,10141.43,10062.83,10044.78,10104.86
2026-07-30,9976.85,9976.85,9978.54,10017.68,9988.96,9994.89,9995.27,10108.55,10062.83,10024.78,10104.86
2026-07-30,9934.14,9934.14,9928.48,10003.43,9951.42,9978.92,9970.88,10103.42,10062.83,10020.23,10104.86
2026-07-31,9955.25,9955.25,9950.56,10009.21,9971.19,9994.3,9988.53,10089.01,10062.83,10020.4,10104.86
2026-07-31,9939.85,9939.85,9940.63,10011.13,9954.87,9977.3,9970.74,10037.71,10062.83,10022.89,10104.86
2026-07-31,9909.17,9909.17,9904.34,9988.49,9928.68,9957.42,9946.76,10007.19,10101.1,10010.88,10104.86
2026-07-31,9917.69,9917.69,9911.06,9977.08,9936.69,9954.98,9946.57,9975.46,10000.28,9991.06,10104.86
2026-07-31,9905.17,9905.17,9903.07,9984.9,9923.83,9948.55,9938.12,10004.9,10064.13,9954.4,10104.86
2026-07-31,9913.56,9913.56,9914.25,10038.85,9931.52,9954.87,9947.93,10004.3,10060.52,9999.5,10104.86
2026-07-31,9917.04,9917.04,9912.66,10080.36,9936.35,9964.49,9954.09,10074.39,10118.05,10028.01,10104.86
2026-07-31,9866.85,9866.85,9865.72,10077.14,9888.04,9925.7,9909.67,10068.52,10118.05,10025.62,10104.86
2026-07-31,9866.85,9866.85,9865.72,10066.93,9888.04,9925.7,9909.67,10049.19,10118.05,10013.86,10104.86
2026-07-31,9832.76,9832.76,9819.25,10074.19,9860.38,9914.21,9891.81,10071.63,10159.6,10012.66,10104.86
2026-07-31,9829.46,9829.46,9824.56,10041.46,9853.12,9896.55,9880.02,10009.55,10112.37,10003.62,10104.86
2026-07-31,9842.46,9842.46,9841.72,10039.76,9863.71,9903.84,9889.38,10004.35,10102.96,9998.86,10104.86
2026-07-31,9809.21,9809.21,9802.49,10039.65,9833.53,9876.5,9858.05,10011.26,10102.96,9997.8,10104.86
2026-07-31,9750.28,9750.28,9742.18,10066.67,9778.66,9835.88,9812.23,10045.13,10102.96,9991.97,10104.86
2026-07-31,9736.83,9736.83,9727.09,10076.01,9766.81,9825.85,9800.03,10041.95,10102.96,9987.93,10104.86
2026-07-31,9684.86,9684.86,9666.24,10059.19,9720.52,9786.58,9757.6,10057.71,10113.66,9971.63,10104.86
2026-07-31,9698.41,9698.41,9677.32,10059.38,9734.99,9786.62,9761.47,10074.7,10111.48,9966.44,10104.86
2026-07-31,9715.75,9715.75,9695.7,10049.09,9751.08,9812.49,9784.06,10030.75,10118.36,9976.11,10104.86
2026-07-31,9740.23,9740.23,9716.44,10062.99,9775.65,9829.43,9804.16,10047.95,10122.93,9977.35,10104.86
2026-07-31,9745.71,9745.71,9731.52,9994.92,9777.36,9836.54,9810.69,10064.59,10129.9,9932.67,10104.86
2026-07-31,9711.95,9711.95,9693.72,9969.69,9747.88,9814.41,9784.69,10021.22,10115.44,9919.7,10104.86
2026-07-31,9710.79,9710.79,9699.03,10048.13,9744.56,9808.26,9779.67,10015.74,10118.96,9976.73,10104.86
2026-07-31,9725.44,9725.44,9719.02,10021.09,9756.52,9807.18,9782.71,9969.47,10126.91,9948.52,10104.86
2026-07-31,9725.41,9725.41,9714.03,10053.6,9757.14,9815.76,9789.74,10036.08,10125.15,9931.71,10104.86
2026-07-31,9712.84,9712.84,9701.54,10058.66,9745.38,9799.17,9773.31,10053.26,10121.62,9930.75,10104.86
2026-08-01,9727.25,9727.25,9712.29,10064.78,9760.1,9822.99,9796.04,10075.12,10123.57,9931.28,10104.86
2026-08-01,9740.26,9740.26,9727.22,10081.96,9771.82,9836.29,9808.9,10097.17,10128.91,9932.73,10104.86
2026-08-01,9748.38,9748.38,9733.79,10083.01,9780.52,9844.09,9817.07,10092.63,10130.53,9933.17,10104.86
2026-08-01,9745.67,9745.67,9740.0,10099.42,9775.71,9831.18,9809.45,10090.54,10133.02,9949.06,10104.86
