rank,account,entry_mode,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,max_hold_hours,round_trips,win_rate,avg_win_pct,avg_loss_pct,profit_factor,final_value,pnl,pnl_pct,max_drawdown_pct,fees_paid,tds_paid
102,acc_037,dip,18,72,2,5,40,336,7,85.714,2.766,-0.621,18.225,10250.096,250.096,2.501,1.723,50.676,256.163
103,acc_439,momentum,36,72,12,5,60,720,68,58.824,5.016,-4.366,1.553,10247.577,247.577,2.476,11.678,187.972,897.895
104,acc_145,dip,30,80,5,3,10,72,56,62.5,3.728,-1.917,3.163,10247.179,247.179,2.472,2.191,78.574,389.468
105,acc_185,dip,36,68,8,3,10,72,96,59.375,4.206,-2.611,2.07,10245.507,245.507,2.455,4.619,122.236,596.528
106,acc_166,dip,33,76,4,3,20,0,68,61.765,4.634,-3.706,1.93,10243.692,243.692,2.437,5.595,110.191,538.678
107,acc_273,momentum,15,85,4,5,10,168,118,64.407,5.005,-4.824,1.755,10239.948,239.948,2.399,6.333,135.819,657.866
108,acc_034,dip,18,68,4,1.5,50,168,9,66.667,4.208,-2.041,2.967,10239.894,239.894,2.399,3.344,77.777,392.433
109,acc_473,momentum,40,85,5,5,10,336,102,62.745,5.846,-5.872,1.596,10229.906,229.906,2.299,8.163,118.732,571.296
110,acc_026,dip,18,60,2,1,50,168,9,77.778,2.919,-1.771,4.348,10221.424,221.424,2.214,1.965,81.039,408.751
111,acc_088,dip,25,72,5,3,30,720,22,72.727,4.179,-3.75,2.419,10215.091,215.091,2.151,4.161,73.504,370.819
112,acc_225,dip,40,85,12,3,10,168,59,40.678,8.436,-3.393,1.438,10209.438,209.438,2.094,4.733,73.85,346.076
113,acc_070,dip,22,80,5,1.5,20,0,16,56.25,5.276,-2.187,2.664,10208.064,208.064,2.081,1.731,58.224,293.92
114,acc_129,dip,30,60,15,1.5,10,72,77,67.532,3.23,-2.06,2.865,10203.026,203.026,2.03,1.399,115.446,578.15
115,acc_170,dip,33,80,5,3,50,336,44,52.273,5.095,-3.636,1.654,10200.148,200.148,2.001,7.964,120.315,567.567
116,acc_121,dip,28,80,10,1,10,72,47,42.553,4.746,-1.611,2.228,10200.095,200.095,2.001,3.423,74.292,361.954
117,acc_189,dip,36,72,10,3,40,720,54,46.296,6.773,-3.587,1.422,10195.17,195.17,1.952,7.696,123.316,584.426
118,acc_099,dip,25,85,6,2,20,720,22,50.0,6.374,-2.429,2.302,10192.101,192.101,1.921,3.023,56.726,286.304
119,acc_092,dip,25,76,6,3,80,72,15,60.0,3.79,-1.889,1.904,10188.087,188.087,1.881,7.409,130.402,615.68
120,acc_046,dip,18,80,8,3,20,0,7,71.429,4.965,-3.313,3.353,10185.471,185.471,1.855,1.776,26.655,135.008
121,acc_094,dip,25,80,2,5,20,0,23,86.957,2.788,-5.234,2.988,10183.724,183.724,1.837,1.592,75.504,380.72
122,acc_032,dip,18,64,10,1.5,30,336,8,62.5,4.139,-1.698,3.742,10182.826,182.826,1.828,1.935,43.37,219.077
123,acc_072,dip,22,80,15,1.5,30,720,15,40.0,8.302,-1.95,2.171,10179.049,179.049,1.79,4.626,60.847,306.971
124,acc_045,dip,18,80,5,1,40,336,9,55.556,4.908,-1.812,2.783,10176.502,176.502,1.765,2.981,61.489,310.184
125,acc_141,dip,30,76,4,2,40,336,59,52.542,4.559,-2.445,1.937,10170.12,170.12,1.701,4.447,157.283,771.516
126,acc_313,momentum,22,72,6,5,10,168,128,63.281,4.668,-4.602,1.645,10165.316,165.316,1.653,5.929,146.547,711.071
127,acc_208,dip,40,68,2,3,40,0,183,76.503,2.756,-3.528,2.216,10160.401,160.401,1.604,6.126,380.82,1910.382
128,acc_134,dip,30,68,4,5,20,0,50,74.0,3.806,-5.355,1.882,10158.59,158.59,1.586,3.275,91.561,451.051
129,acc_069,dip,22,80,2,3,40,336,13,84.615,2.756,-3.389,3.091,10150.526,150.526,1.505,4.276,87.036,438.561
130,acc_414,momentum,33,72,12,5,20,168,161,56.522,5.092,-3.897,1.501,10149.125,149.125,1.491,8.849,204.883,991.485
131,acc_139,dip,30,72,10,2,30,0,52,46.154,6.813,-2.616,1.6,10146.837,146.837,1.468,6.279,112.878,541.101
132,acc_146,dip,30,80,10,1,50,336,47,29.787,7.081,-1.634,1.608,10146.186,146.186,1.462,7.026,132.406,619.561
133,acc_086,dip,25,68,12,3,20,0,22,68.182,4.067,-3.403,2.375,10144.534,144.534,1.445,3.03,54.541,275.075
134,acc_035,dip,18,68,6,5,20,720,6,66.667,4.066,-0.664,9.472,10143.99,143.99,1.44,1.74,22.701,114.911
135,acc_084,dip,25,68,4,2,80,72,23,56.522,3.815,-2.087,2.173,10132.182,132.182,1.322,5.546,200.366,1008.533
136,acc_496,momentum,45,80,12,5,40,72,123,52.846,6.425,-3.682,1.582,10129.178,129.178,1.292,13.466,241.554,1170.192
137,acc_033,dip,18,64,15,5,10,0,7,85.714,3.603,-0.583,29.741,10126.582,126.582,1.266,0.709,13.832,70.213
138,acc_065,dip,22,72,15,3,10,0,11,63.636,5.251,-3.355,2.42,10118.426,118.426,1.184,1.381,20.795,99.973
139,acc_028,dip,18,60,8,1,80,72,9,66.667,3.947,-2.041,2.355,10116.028,116.028,1.16,5.39,114.281,575.431
