timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-09-18T01:02:59+00:00,SUSHIINR,sell,22.515737,34.00000000,765.54,0.77,7.66,-1360.05
2026-09-18T01:02:59+00:00,JUPINR,buy,23.926957,30.40000000,727.38,0.73,0.00,
2026-09-18T01:03:00+00:00,PUMPINR,sell,0.399110,2614.00000000,1043.27,1.04,10.43,-1355.22
2026-09-18T01:03:01+00:00,GALAINR,buy,0.183822,4790.77000000,880.65,0.88,0.00,
2026-09-18T06:37:23+00:00,SOLINR,sell,10457.068850,0.06900000,721.54,0.72,7.22,-1332.16
2026-09-18T06:37:23+00:00,NEARINR,buy,346.463145,2.20000000,762.22,0.76,0.00,
2026-09-18T06:37:23+00:00,JUPINR,sell,25.173407,30.40000000,765.27,0.77,7.65,-1295.76
2026-09-18T06:37:23+00:00,DOGEINR,sell,8.349423,97.00000000,809.89,0.81,8.10,-1282.21
2026-09-18T06:37:23+00:00,FARTCOININR,buy,15.137565,78.86000000,1193.75,1.19,0.00,
2026-09-18T06:37:23+00:00,SUSHIINR,buy,23.761875,25.10000000,596.42,0.60,0.00,
2026-09-18T06:37:24+00:00,TOSHIINR,sell,0.010982,63862.00000000,701.30,0.70,7.01,-1274.79
2026-09-18T06:37:24+00:00,TOKENINR,buy,0.202901,3179.69630000,645.16,0.65,0.00,
2026-09-18T06:37:24+00:00,GALAINR,sell,0.184908,4790.77000000,885.85,0.89,8.86,-1271.35
2026-09-18T06:37:25+00:00,POPCATINR,buy,4.695447,161.89000000,760.15,0.76,0.00,
2026-09-18T06:37:26+00:00,CHRINR,sell,1.579210,515.00000000,813.29,0.81,8.13,-1279.26
2026-09-18T06:37:26+00:00,SHIBINR,buy,0.000530,1473967.00000000,781.89,0.78,0.00,
2026-09-18T12:02:29+00:00,NEARINR,sell,342.388720,2.20000000,753.26,0.75,7.53,-1289.74
2026-09-18T12:02:29+00:00,XRPINR,buy,131.869902,5.70000000,751.66,0.75,0.00,
2026-09-18T12:02:29+00:00,SUSHIINR,sell,23.854067,25.10000000,598.74,0.60,5.99,-1288.62
2026-09-18T12:02:29+00:00,ORCAINR,buy,143.561745,4.75000000,681.92,0.68,0.00,
2026-09-18T12:02:32+00:00,SHIBINR,sell,0.000529,1473967.00000000,779.93,0.78,7.80,-1292.14
2026-09-18T12:02:32+00:00,PEPEINR,buy,0.000369,1970667.00000000,727.34,0.73,0.00,
2026-09-18T17:04:46+00:00,XRPINR,sell,137.963983,5.70000000,786.39,0.79,7.86,-1258.95
2026-09-18T17:04:46+00:00,SUIINR,buy,80.140050,9.30000000,745.30,0.75,0.00,
2026-09-18T17:04:46+00:00,TRXINR,sell,33.629177,20.90000000,702.85,0.70,7.03,-1265.76
2026-09-18T17:04:46+00:00,FARTCOININR,sell,15.759117,78.86000000,1242.76,1.24,12.43,-1219.19
2026-09-18T17:04:46+00:00,SUSHIINR,buy,24.863425,53.90000000,1340.14,1.34,0.00,
2026-09-18T17:04:46+00:00,ORCAINR,sell,144.217855,4.75000000,685.03,0.69,6.85,-1217.44
2026-09-18T17:04:46+00:00,ONEINR,buy,0.183592,5495.80000000,1008.98,1.01,0.00,
2026-09-18T17:04:46+00:00,PYTHINR,buy,6.027412,83.70000000,504.49,0.50,0.00,
2026-09-18T17:04:49+00:00,HMSTRINR,sell,0.016611,40560.00000000,673.73,0.67,6.74,-1181.48
2026-09-18T17:04:49+00:00,PEPEINR,sell,0.000382,1970667.00000000,751.83,0.75,7.52,-1158.47
2026-09-18T17:04:49+00:00,ALTINR,buy,0.698549,1369.00000000,956.31,0.96,0.00,
2026-09-18T20:16:54+00:00,SUIINR,sell,80.293833,9.30000000,746.73,0.75,7.47,-1158.53
2026-09-18T20:16:54+00:00,DOTINR,buy,114.492217,7.39980000,847.22,0.85,0.00,
2026-09-18T20:16:54+00:00,TRBINR,sell,1808.195450,0.35200000,636.48,0.64,6.36,-1132.66
2026-09-18T20:16:54+00:00,ARBINR,buy,22.127058,33.30000000,736.83,0.74,0.00,
2026-09-18T20:16:54+00:00,ONEINR,sell,0.174283,5495.80000000,957.82,0.96,9.58,-1185.79
2026-09-18T20:16:54+00:00,PYTHINR,sell,5.896650,83.70000000,493.55,0.49,4.94,-1197.73
2026-09-18T20:16:54+00:00,SEIINR,buy,4.817708,225.50000000,1086.39,1.09,0.00,
2026-09-18T20:16:54+00:00,GASINR,buy,132.665299,4.09600000,543.40,0.54,0.00,
2026-09-18T20:16:56+00:00,ALTINR,sell,0.679660,1369.00000000,930.45,0.93,9.30,-1225.48
2026-09-18T20:16:56+00:00,SHIBINR,buy,0.000546,1340042.00000000,731.36,0.73,0.00,
2026-09-18T20:16:56+00:00,POPCATINR,sell,4.894951,161.89000000,792.44,0.79,7.92,-1194.74
2026-09-18T20:16:57+00:00,BIOINR,buy,2.765382,273.70000000,756.89,0.76,0.00,
2026-09-18T23:08:52+00:00,ARBINR,sell,21.589200,33.30000000,718.92,0.72,7.19,-1214.1
2026-09-18T23:08:52+00:00,APTINR,buy,72.486225,10.12000000,733.56,0.73,0.00,
2026-09-18T23:08:52+00:00,SUSHIINR,sell,24.359814,53.90000000,1312.99,1.31,13.13,-1243.9
2026-09-18T23:08:52+00:00,ORCAINR,buy,146.803365,6.91000000,1014.41,1.01,0.00,
2026-09-18T23:08:52+00:00,PYTHINR,buy,6.004901,84.60000000,508.01,0.51,0.00,
2026-09-18T23:08:52+00:00,SEIINR,sell,4.726835,225.50000000,1065.90,1.07,10.66,-1266.54
2026-09-18T23:08:52+00:00,APEINR,buy,13.863928,56.33000000,780.96,0.78,0.00,
2026-09-18T23:08:55+00:00,SHIBINR,sell,0.000545,1340042.00000000,729.69,0.73,7.30,-1269.67
2026-09-18T23:08:55+00:00,TOSHIINR,buy,0.011629,64585.00000000,751.05,0.75,0.00,
2026-09-18T23:08:56+00:00,BIOINR,sell,2.693652,273.70000000,737.25,0.74,7.37,-1290.8
2026-09-18T23:08:56+00:00,GALAINR,buy,0.192866,3835.50000000,739.74,0.74,0.00,
2026-09-19T01:42:23+00:00,APTINR,sell,73.173395,10.12000000,740.51,0.74,7.41,-1285.32
2026-09-19T01:42:23+00:00,RENDERINR,buy,156.498210,4.70000000,735.54,0.74,0.00,
2026-09-19T01:42:23+00:00,ORCAINR,sell,144.507710,6.91000000,998.55,1.00,9.99,-1303.2
2026-09-19T01:42:23+00:00,ONEINR,buy,0.209265,4115.30000000,861.19,0.86,0.00,
2026-09-19T01:42:23+00:00,APEINR,sell,13.624185,56.33000000,767.45,0.77,7.67,-1318.25
2026-09-19T01:42:23+00:00,RIFINR,buy,8.631314,93.00000000,802.71,0.80,0.00,
2026-09-19T06:34:10+00:00,TOKENINR,sell,0.203698,3179.69630000,647.70,0.65,6.48,-1317.01
2026-09-19T06:34:10+00:00,POLYXINR,buy,3.963981,183.73990000,728.34,0.73,0.00,
2026-09-19T06:34:11+00:00,GASINR,sell,128.835550,4.09600000,527.71,0.53,5.28,-1333.77
2026-09-19T06:34:12+00:00,POPCATINR,buy,4.894346,127.67000000,624.86,0.62,0.00,
2026-09-19T11:38:35+00:00,ONEINR,sell,0.253183,4115.30000000,1041.93,1.04,10.42,-1154.93
2026-09-19T11:38:35+00:00,APEINR,buy,14.220106,58.16000000,827.04,0.83,0.00,
2026-09-19T11:38:37+00:00,TOSHIINR,sell,0.011547,64585.00000000,745.78,0.75,7.46,-1161.7
2026-09-19T11:38:37+00:00,BONKINR,buy,0.000302,2589983.00000000,782.05,0.78,0.00,
2026-09-19T11:38:38+00:00,POLYXINR,sell,3.929035,183.73990000,721.92,0.72,7.22,-1169.57
2026-09-19T11:38:38+00:00,XDBINR,buy,0.007360,101589.00000000,747.66,0.75,0.00,
2026-09-19T15:03:51+00:00,RENDERINR,sell,157.970975,4.70000000,742.46,0.74,7.42,-1164.12
2026-09-19T15:03:51+00:00,TRUMPINR,buy,205.232565,3.60800000,740.48,0.74,0.00,
2026-09-19T15:03:51+00:00,APEINR,sell,13.994000,58.16000000,813.89,0.81,8.14,-1178.91
2026-09-19T15:03:51+00:00,ONEINR,buy,0.256128,3015.80000000,772.43,0.77,0.00,
2026-09-19T18:40:27+00:00,TRUMPINR,sell,210.284805,3.60800000,758.71,0.76,7.59,-1162.19
2026-09-19T18:40:27+00:00,TRBINR,buy,1864.531800,0.40800000,760.73,0.76,0.00,
2026-09-19T18:40:27+00:00,ONEINR,sell,0.329835,3015.80000000,994.72,0.99,9.95,-941.67
2026-09-19T18:40:27+00:00,APEINR,buy,14.128061,61.72000000,871.98,0.87,0.00,
2026-09-19T18:40:27+00:00,POPCATINR,sell,4.980209,127.67000000,635.82,0.64,6.36,-931.97
2026-09-19T18:40:27+00:00,BRISEINR,buy,0.000002,465740066.00000000,750.17,0.75,0.00,
2026-09-19T18:40:30+00:00,BONKINR,sell,0.000306,2589983.00000000,791.88,0.79,7.92,-923.71
2026-09-19T18:40:30+00:00,SHIBINR,buy,0.000556,1377501.00000000,766.27,0.77,0.00,
2026-09-19T21:15:42+00:00,TRBINR,sell,1835.082000,0.40800000,748.71,0.75,7.49,-937.23
2026-09-19T21:15:42+00:00,TRUMPINR,buy,209.914905,3.58700000,752.96,0.75,0.00,
2026-09-20T06:49:25+00:00,DOTINR,sell,107.947000,7.39980000,798.79,0.80,7.99,-987.31
2026-09-20T06:49:25+00:00,ADAINR,buy,22.095042,34.90000000,771.12,0.77,0.00,
2026-09-20T12:46:59+00:00,TRUMPINR,sell,198.970465,3.58700000,713.71,0.71,7.14,-1028.04
2026-09-20T12:46:59+00:00,ONDOINR,buy,40.825402,18.00000000,734.86,0.73,0.00,
2026-09-20T12:46:59+00:00,APEINR,sell,13.274360,61.72000000,819.29,0.82,8.19,-1082.42
2026-09-20T12:46:59+00:00,CHILLGUYINR,buy,1.359980,570.00000000,775.19,0.78,0.00,
2026-09-20T12:46:59+00:00,PYTHINR,sell,5.707245,84.60000000,482.83,0.48,4.83,-1108.59
2026-09-20T12:46:59+00:00,BOMEINR,buy,0.090178,6946.00000000,626.38,0.63,0.00,
2026-09-20T17:22:12+00:00,ONDOINR,sell,42.658660,18.00000000,767.86,0.77,7.68,-1077.09
