timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-09-04T05:03:53+00:00,JUPINR,sell,21.976007,29.70000000,652.69,0.65,6.53,-749.47
2026-09-04T05:03:53+00:00,ORCAINR,buy,126.833385,5.20000000,659.53,0.66,0.00,
2026-09-04T05:03:53+00:00,RIFINR,sell,7.615190,81.00000000,616.83,0.62,6.17,-770.39
2026-09-04T05:03:53+00:00,SEIINR,buy,4.894846,130.70000000,639.76,0.64,0.00,
2026-09-04T09:58:28+00:00,SEIINR,sell,4.782308,130.70000000,625.05,0.63,6.25,-786.36
2026-09-04T09:58:28+00:00,APEINR,buy,14.072032,44.84000000,630.99,0.63,0.00,
2026-09-04T17:54:24+00:00,LINKINR,sell,1149.425000,0.58000000,666.67,0.67,6.67,-802.23
2026-09-04T17:54:24+00:00,TRUMPINR,buy,224.912400,2.85500000,642.12,0.64,0.00,
2026-09-04T17:54:24+00:00,ADAINR,sell,21.049470,26.40000000,555.71,0.56,5.56,-825.63
2026-09-04T17:54:24+00:00,RENDERINR,buy,144.262095,4.19000000,604.46,0.60,0.00,
2026-09-04T17:54:24+00:00,FARTCOININR,sell,16.499746,39.60000000,653.39,0.65,6.53,-843.61
2026-09-04T17:54:24+00:00,DOGEINR,buy,8.407101,73.00000000,613.72,0.61,0.00,
2026-09-04T17:54:24+00:00,ORCAINR,sell,122.478730,5.20000000,636.89,0.64,6.37,-867.55
2026-09-04T17:54:24+00:00,PYTHINR,buy,5.394796,116.30000000,627.41,0.63,0.00,
2026-09-04T21:15:14+00:00,APEINR,sell,13.770112,44.84000000,617.45,0.62,6.17,-882.34
2026-09-04T21:15:14+00:00,RIFINR,buy,7.679838,80.00000000,614.39,0.61,0.00,
2026-09-05T01:28:56+00:00,RIFINR,sell,7.527235,80.00000000,602.18,0.60,6.02,-895.76
2026-09-05T01:28:56+00:00,APEINR,buy,13.971982,43.86000000,612.81,0.61,0.00,
2026-09-05T06:14:35+00:00,PYTHINR,sell,5.274362,116.30000000,613.41,0.61,6.13,-911.01
2026-09-05T06:14:35+00:00,CHRINR,buy,1.578089,386.00000000,609.14,0.61,0.00,
2026-09-05T14:16:28+00:00,SUIINR,sell,78.539710,7.60000000,596.90,0.60,5.97,-868.05
2026-09-05T14:16:28+00:00,TRBINR,buy,1844.922000,0.32600000,601.44,0.60,0.00,
2026-09-05T14:16:31+00:00,CHRINR,sell,1.542229,386.00000000,595.30,0.60,5.95,-883.1
