timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-08-26T11:19:19+00:00,BTCINR,buy,7858809.240900,0.00063000,4951.05,4.95,0.00,
2026-08-26T11:19:19+00:00,ETHINR,buy,246551.013900,0.01020000,2514.82,2.51,0.00,
2026-08-26T11:19:19+00:00,BNBINR,buy,70431.898350,0.01700000,1197.34,1.20,0.00,
2026-08-26T11:19:19+00:00,SOLINR,buy,9736.565850,0.06800000,662.09,0.66,0.00,
2026-08-26T11:55:06+00:00,BNBINR,sell,69608.778200,0.01700000,1183.35,1.18,11.83,-16.37
2026-08-26T11:55:06+00:00,USDTINR,buy,99.889920,9.17000000,915.99,0.92,0.00,
2026-08-26T13:31:58+00:00,BTCINR,sell,7747674.524850,0.00063000,4881.03,4.88,48.81,-96.22
2026-08-26T13:31:58+00:00,ETHINR,sell,242416.930900,0.01020000,2472.65,2.47,24.73,-143.38
2026-08-26T13:31:58+00:00,SOLINR,sell,9533.530850,0.06800000,648.28,0.65,6.48,-158.49
2026-08-26T13:31:58+00:00,BNBINR,buy,69534.750000,0.06300000,4380.69,4.38,0.00,
2026-08-26T13:31:58+00:00,XRPINR,buy,138.054993,16.00000000,2208.88,2.21,0.00,
2026-08-26T13:31:58+00:00,LINKINR,buy,1130.695065,0.98000000,1108.08,1.11,0.00,
2026-08-26T13:31:58+00:00,TRUMPINR,buy,226.082985,2.49000000,562.95,0.56,0.00,
2026-08-26T15:57:40+00:00,BNBINR,sell,68835.864850,0.06300000,4336.66,4.34,43.37,-211.24
2026-08-26T15:57:40+00:00,XRPINR,sell,136.207862,16.00000000,2179.33,2.18,21.79,-245.18
2026-08-26T15:57:40+00:00,TRUMPINR,sell,215.022435,2.49000000,535.41,0.54,5.35,-273.82
2026-08-26T15:57:40+00:00,TRBINR,buy,1743.771450,2.15900000,3764.80,3.76,0.00,
2026-08-26T15:57:40+00:00,ICPINR,buy,235.567725,7.99000000,1882.19,1.88,0.00,
2026-08-26T15:57:40+00:00,NEARINR,buy,181.440675,5.10000000,925.35,0.93,0.00,
2026-08-26T18:20:46+00:00,LINKINR,sell,1114.752345,0.98000000,1092.46,1.09,10.92,-291.65
2026-08-26T18:20:46+00:00,TRUMPINR,buy,223.611750,4.55500000,1018.55,1.02,0.00,
2026-08-26T18:20:46+00:00,TRBINR,sell,1672.563300,2.15900000,3611.06,3.61,36.11,-452.76
2026-08-26T18:20:46+00:00,SUIINR,buy,74.030997,30.90000000,2287.56,2.29,0.00,
2026-08-26T18:20:46+00:00,ICPINR,sell,231.893995,7.99000000,1852.83,1.85,18.53,-485.85
2026-08-26T18:20:46+00:00,FARTCOININR,buy,19.557774,105.57000000,2064.71,2.06,0.00,
2026-08-26T18:20:46+00:00,ONDOINR,buy,36.312147,28.40000000,1031.26,1.03,0.00,
2026-08-26T18:20:46+00:00,RENDERINR,buy,149.364645,3.45000000,515.31,0.52,0.00,
2026-08-26T20:33:45+00:00,TRUMPINR,sell,219.440225,4.55500000,999.55,1.00,10.00,-506.87
2026-08-26T20:33:45+00:00,TRBINR,buy,1741.370250,0.43200000,752.27,0.75,0.00,
2026-08-26T20:33:45+00:00,RENDERINR,sell,147.126400,3.45000000,507.59,0.51,5.08,-515.61
2026-08-26T20:33:45+00:00,TRXINR,buy,33.296640,18.80000000,625.98,0.63,0.00,
2026-08-27T00:02:18+00:00,FARTCOININR,sell,21.240375,105.57000000,2242.35,2.24,22.42,-342.29
2026-08-27T00:02:18+00:00,NEARINR,sell,187.596155,5.10000000,956.74,0.96,9.57,-312.78
2026-08-27T00:02:18+00:00,RENDERINR,buy,151.835880,12.47000000,1893.39,1.89,0.00,
2026-08-27T00:02:18+00:00,DOTINR,buy,86.043000,11.01980000,948.18,0.95,0.00,
2026-08-27T10:23:07+00:00,SUIINR,sell,76.501730,30.90000000,2363.90,2.36,23.64,-241.08
2026-08-27T10:23:07+00:00,ICPINR,buy,246.223050,6.66000000,1639.85,1.64,0.00,
2026-08-27T10:23:07+00:00,NEARINR,buy,192.866385,4.20000000,810.04,0.81,0.00,
2026-08-27T21:01:50+00:00,ICPINR,sell,243.878000,6.66000000,1624.23,1.62,16.24,-259.96
2026-08-27T21:01:50+00:00,ADAINR,buy,21.504747,56.60000000,1217.17,1.22,0.00,
2026-08-27T21:01:50+00:00,ONDOINR,sell,37.508237,28.40000000,1065.23,1.07,10.65,-228.09
2026-08-27T21:01:50+00:00,FARTCOININR,buy,21.698844,52.39000000,1136.80,1.14,0.00,
2026-08-27T21:01:50+00:00,DOGEINR,buy,8.887742,63.00000000,559.93,0.56,0.00,
