timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-09-18T22:59:55+00:00,APEINR,buy,13.863928,37.64000000,521.84,0.52,0.00,
2026-09-18T22:59:55+00:00,RIFINR,sell,8.597699,60.00000000,515.86,0.52,5.16,-1226.57
2026-09-18T22:59:55+00:00,POLYXINR,buy,4.045021,128.73090000,520.72,0.52,0.00,
2026-09-18T22:59:57+00:00,SHIBINR,sell,0.000545,953912.00000000,519.43,0.52,5.19,-1228.8
2026-09-18T22:59:57+00:00,TOSHIINR,buy,0.011629,44713.00000000,519.96,0.52,0.00,
2026-09-18T22:59:58+00:00,BOMEINR,sell,0.096713,5154.00000000,498.46,0.50,4.98,-1243.37
2026-09-18T22:59:58+00:00,PENGUINR,buy,0.790725,654.00000000,517.13,0.52,0.00,
2026-09-19T01:35:05+00:00,ORCAINR,sell,144.507710,3.57000000,515.89,0.52,5.16,-1252.61
2026-09-19T01:35:05+00:00,ONEINR,buy,0.209265,2468.00000000,516.46,0.52,0.00,
2026-09-19T01:35:05+00:00,APEINR,sell,13.624185,37.64000000,512.81,0.51,5.13,-1262.67
2026-09-19T01:35:05+00:00,RIFINR,buy,8.631314,59.00000000,509.25,0.51,0.00,
2026-09-19T01:35:05+00:00,POLYXINR,sell,3.850074,128.73090000,495.62,0.50,4.96,-1288.78
2026-09-19T01:35:05+00:00,BRISEINR,buy,0.000002,317211435.00000000,513.54,0.51,0.00,
2026-09-19T01:35:07+00:00,TOSHIINR,sell,0.011330,44713.00000000,506.61,0.51,5.07,-1303.15
2026-09-19T01:35:07+00:00,POPCATINR,buy,4.950174,103.47000000,512.19,0.51,0.00,
2026-09-19T06:25:14+00:00,RIFINR,sell,8.367814,59.00000000,493.70,0.49,4.94,-1319.7
2026-09-19T06:25:14+00:00,PYTHINR,buy,6.015006,84.70000000,509.47,0.51,0.00,
2026-09-19T06:25:17+00:00,POPCATINR,sell,4.807295,103.47000000,497.41,0.50,4.97,-1335.49
2026-09-19T06:25:17+00:00,GALAINR,sell,0.186837,2763.27000000,516.28,0.52,5.16,-1348.86
2026-09-19T06:25:18+00:00,CHRINR,buy,1.702951,328.00000000,558.57,0.56,0.00,
2026-09-19T06:25:18+00:00,PENGUINR,sell,0.767686,654.00000000,502.07,0.50,5.02,-1364.95
2026-09-19T06:25:18+00:00,CHILLGUYINR,buy,1.330465,415.00000000,552.14,0.55,0.00,
2026-09-19T11:31:07+00:00,ONEINR,sell,0.253183,2468.00000000,624.86,0.62,6.25,-1257.7
2026-09-19T11:31:07+00:00,APEINR,buy,14.220106,39.32000000,559.13,0.56,0.00,
2026-09-19T11:31:07+00:00,SEIINR,buy,4.942470,101.80000000,503.14,0.50,0.00,
2026-09-19T11:31:07+00:00,CHILLGUYINR,sell,1.477161,415.00000000,613.02,0.61,6.13,-1197.98
2026-09-19T11:31:07+00:00,PENGUINR,buy,0.800390,641.00000000,513.05,0.51,0.00,
2026-09-19T14:54:05+00:00,PENGUINR,sell,0.783138,641.00000000,501.99,0.50,5.02,-1210.06
2026-09-19T14:54:06+00:00,POLYXINR,buy,4.142070,123.58750000,511.91,0.51,0.00,
2026-09-19T18:29:53+00:00,APEINR,sell,13.858068,39.32000000,544.90,0.54,5.45,-1225.4
2026-09-19T18:29:53+00:00,SUSHIINR,buy,25.311649,20.30000000,513.83,0.51,0.00,
2026-09-19T18:29:53+00:00,SEIINR,sell,4.831183,101.80000000,491.81,0.49,4.92,-1237.72
2026-09-19T18:29:53+00:00,CHILLGUYINR,buy,1.422211,359.00000000,510.57,0.51,0.00,
2026-09-19T18:29:57+00:00,CHRINR,sell,1.668265,328.00000000,547.19,0.55,5.47,-1250.2
2026-09-19T18:29:58+00:00,POLYXINR,sell,4.003997,123.58750000,494.84,0.49,4.95,-1268.27
2026-09-19T18:29:58+00:00,PENGUINR,buy,0.818909,688.00000000,563.41,0.56,0.00,
2026-09-19T18:29:58+00:00,XDBINR,buy,0.007538,67302.70000000,507.31,0.51,0.00,
2026-09-19T21:08:22+00:00,SUSHIINR,sell,24.556715,20.30000000,498.50,0.50,4.99,-1284.61
2026-09-19T21:08:22+00:00,APEINR,buy,14.174083,35.68000000,505.73,0.51,0.00,
2026-09-19T21:08:22+00:00,CHILLGUYINR,sell,1.378810,359.00000000,494.99,0.49,4.95,-1301.2
2026-09-19T21:08:22+00:00,POPCATINR,buy,5.096547,98.92000000,504.15,0.50,0.00,
