timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-08-30T20:04:02+00:00,BTCINR,buy,7927962.000000,0.00100000,7927.96,7.93,0.00,
2026-08-30T20:04:02+00:00,ETHINR,buy,251413.043700,0.00650000,1634.18,1.63,0.00,
2026-08-30T22:54:52+00:00,ETHINR,sell,246901.187650,0.00650000,1604.86,1.60,16.05,-32.57
2026-08-30T22:54:52+00:00,BNBINR,buy,69981.773400,0.02300000,1609.58,1.61,0.00,
2026-08-31T07:19:05+00:00,BNBINR,sell,68570.797450,0.02300000,1577.13,1.58,15.77,-68.21
2026-08-31T07:19:05+00:00,SOLINR,buy,10358.776800,0.15100000,1564.18,1.56,0.00,
2026-09-01T12:05:40+00:00,BTCINR,sell,7768354.079900,0.00100000,7768.35,7.77,77.68,-243.51
2026-09-01T12:05:40+00:00,ETHINR,buy,246298.187550,0.02620000,6453.01,6.45,0.00,
2026-09-01T12:05:40+00:00,USDTINR,buy,100.070010,12.95000000,1295.91,1.30,0.00,
2026-09-02T06:27:42+00:00,ETHINR,sell,240500.289700,0.02620000,6301.11,6.30,63.01,-408.17
2026-09-02T06:27:42+00:00,SOLINR,sell,9966.914050,0.15100000,1505.00,1.51,15.05,-470.41
2026-09-02T06:27:42+00:00,BNBINR,buy,69034.299900,0.09300000,6420.19,6.42,0.00,
2026-09-02T06:27:42+00:00,XRPINR,buy,135.225579,9.50000000,1284.64,1.28,0.00,
2026-09-02T17:05:48+00:00,BNBINR,sell,67916.025000,0.09300000,6316.19,6.32,63.16,-587.14
2026-09-02T17:05:48+00:00,XRPINR,sell,131.936998,9.50000000,1253.40,1.25,12.53,-620.92
2026-09-02T17:05:48+00:00,LINKINR,buy,1107.133290,5.64000000,6244.23,6.24,0.00,
2026-09-02T17:05:48+00:00,ICPINR,buy,247.513695,5.06000000,1252.42,1.25,0.00,
2026-09-03T01:37:31+00:00,ICPINR,sell,243.128375,5.06000000,1230.23,1.23,12.30,-645.6
2026-09-03T01:37:31+00:00,NEARINR,buy,186.583245,6.50000000,1212.79,1.21,0.00,
2026-09-03T15:37:40+00:00,LINKINR,sell,1163.238090,5.64000000,6560.66,6.56,65.61,-341.97
2026-09-03T15:37:40+00:00,TRUMPINR,buy,237.478680,22.90300000,5438.97,5.44,0.00,
2026-09-03T15:37:40+00:00,SUIINR,buy,78.186074,13.90000000,1086.79,1.09,0.00,
2026-09-03T15:37:40+00:00,NEARINR,sell,193.373265,6.50000000,1256.93,1.26,12.57,-300.31
2026-09-03T15:37:40+00:00,TRBINR,buy,1757.678400,0.68900000,1211.04,1.21,0.00,
2026-09-03T19:20:43+00:00,TRUMPINR,sell,243.678100,22.90300000,5580.96,5.58,55.81,-169.34
2026-09-03T19:20:43+00:00,SUIINR,sell,77.780091,13.90000000,1081.14,1.08,10.81,-177.15
2026-09-03T19:20:43+00:00,ICPINR,buy,254.237055,21.66000000,5506.77,5.51,0.00,
2026-09-03T19:20:43+00:00,NEARINR,buy,198.539220,5.50000000,1091.97,1.09,0.00,
2026-09-03T19:20:43+00:00,TRBINR,sell,1785.206950,0.68900000,1230.01,1.23,12.30,-160.62
2026-09-03T19:20:43+00:00,ADAINR,buy,22.107048,54.30000000,1200.41,1.20,0.00,
2026-09-03T22:18:11+00:00,ICPINR,sell,249.465205,21.66000000,5403.42,5.40,54.03,-274.89
2026-09-03T22:18:11+00:00,NEARINR,sell,195.122390,5.50000000,1073.17,1.07,10.73,-295.85
2026-09-03T22:18:11+00:00,ONDOINR,buy,36.417200,147.20000000,5360.61,5.36,0.00,
2026-09-03T22:18:11+00:00,TRBINR,buy,1826.112600,0.58700000,1071.93,1.07,0.00,
2026-09-03T22:18:11+00:00,ADAINR,sell,21.994997,54.30000000,1194.33,1.19,11.94,-304.33
2026-09-03T22:18:11+00:00,CAKEINR,buy,199.519710,5.80000000,1157.21,1.16,0.00,
