timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-09-11T20:13:11+00:00,POLYXINR,sell,3.475262,141.26280000,490.93,0.49,4.91,-452.4
2026-09-11T20:13:12+00:00,ALTINR,sell,0.609395,824.00000000,502.14,0.50,5.02,-471.07
2026-09-11T20:13:13+00:00,ONEINR,buy,0.067194,8901.60000000,598.13,0.60,0.00,
2026-09-11T22:58:54+00:00,NEARINR,sell,239.770055,2.40000000,575.45,0.58,5.75,-492.85
2026-09-11T22:58:54+00:00,SUIINR,buy,72.736350,8.10000000,589.16,0.59,0.00,
2026-09-11T22:58:54+00:00,TRXINR,sell,33.452266,18.00000000,602.14,0.60,6.02,-486.2
2026-09-11T22:58:54+00:00,ADAINR,buy,20.583286,28.80000000,592.80,0.59,0.00,
2026-09-13T21:20:24+00:00,CAKEINR,sell,224.687600,2.29000000,514.53,0.51,5.15,-473.91
2026-09-13T21:20:24+00:00,TRXINR,buy,34.071027,16.90000000,575.80,0.58,0.00,
2026-09-14T07:01:50+00:00,APTINR,sell,58.610680,8.28000000,485.30,0.49,4.85,-489.88
2026-09-14T07:01:50+00:00,TRBINR,buy,1700.850000,0.32700000,556.18,0.56,0.00,
2026-09-15T18:30:00+00:00,LINKINR,sell,1119.440000,0.65000000,727.64,0.73,7.28,-517.92
2026-09-15T18:30:00+00:00,NEARINR,buy,238.449165,2.40000000,572.28,0.57,0.00,
2026-09-15T18:30:00+00:00,SUIINR,sell,70.316824,8.10000000,569.57,0.57,5.70,-538.67
2026-09-15T18:30:00+00:00,DOTINR,buy,98.095023,5.99260000,587.84,0.59,0.00,
2026-09-15T18:30:00+00:00,ONDOINR,sell,33.984000,17.60000000,598.12,0.60,5.98,-563.19
2026-09-15T18:30:00+00:00,CAKEINR,buy,226.933410,2.59000000,587.76,0.59,0.00,
2026-09-15T18:30:00+00:00,TRXINR,sell,32.989497,16.90000000,557.52,0.56,5.58,-582.6
2026-09-15T18:30:00+00:00,ARBINR,buy,14.586289,39.80000000,580.53,0.58,0.00,
2026-09-15T18:30:00+00:00,SUSHIINR,sell,20.737626,23.10000000,479.04,0.48,4.79,-605.62
2026-09-15T18:30:00+00:00,BIOINR,buy,2.517758,222.20000000,559.45,0.56,0.00,
2026-09-15T18:30:01+00:00,SEIINR,sell,4.269364,174.70000000,745.86,0.75,7.46,-653.02
2026-09-15T18:30:01+00:00,PUMPINR,buy,0.354237,1680.00000000,595.12,0.60,0.00,
2026-09-16T00:52:54+00:00,TRBINR,sell,1638.780200,0.32700000,535.88,0.54,5.36,-674.41
2026-09-16T00:52:54+00:00,DOTINR,sell,94.452750,5.99260000,566.02,0.57,5.66,-697.39
2026-09-16T00:52:54+00:00,RENDERINR,buy,131.985960,5.25000000,692.93,0.69,0.00,
2026-09-16T00:52:54+00:00,ONDOINR,buy,32.835410,16.90000000,554.92,0.55,0.00,
2026-09-16T00:52:54+00:00,ADAINR,sell,19.336327,28.80000000,556.89,0.56,5.57,-734.45
2026-09-16T00:52:54+00:00,JUPINR,buy,21.854922,25.30000000,552.93,0.55,0.00,
2026-09-16T00:52:54+00:00,CAKEINR,sell,218.100895,2.59000000,564.88,0.56,5.65,-758.48
2026-09-16T00:52:54+00:00,DOGEINR,buy,8.012404,69.00000000,552.86,0.55,0.00,
2026-09-16T12:07:09+00:00,USDTINR,sell,99.550200,6.12000000,609.25,0.61,6.09,-761.17
2026-09-16T12:07:09+00:00,LINKINR,buy,1089.654555,0.51000000,555.72,0.56,0.00,
2026-09-16T12:07:09+00:00,ARBINR,sell,16.293849,39.80000000,648.50,0.65,6.48,-694.43
