rank,account,entry_mode,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,max_hold_hours,value_inr,cash_inr,holdings_inr,realized_pnl_inr,trades
97,acc_498,momentum,45.0,85.0,5.0,5.0,60.0,0.0,9750.3,667.18,9083.12,-154.43,11
98,acc_016,dip,15.0,76.0,3.0,5.0,30.0,336.0,9748.32,9748.32,0,-223.9,2
99,acc_056,dip,22.0,64.0,5.0,5.0,30.0,336.0,9748.32,9748.32,0,-223.9,2
100,acc_114,dip,28.0,72.0,10.0,1.5,50.0,336.0,9745.54,9745.54,0,-85.74,8
101,acc_177,dip,36.0,60.0,5.0,2.0,10.0,72.0,9745.23,7131.81,2613.42,-49.59,51
102,acc_185,dip,36.0,68.0,8.0,3.0,10.0,72.0,9737.99,7126.46,2611.53,-80.87,45
103,acc_104,dip,28.0,60.0,15.0,1.0,30.0,720.0,9737.83,9737.83,0,-154.84,8
104,acc_120,dip,28.0,80.0,5.0,2.0,30.0,720.0,9737.83,9737.83,0,-154.84,8
105,acc_123,dip,28.0,85.0,4.0,1.0,30.0,0.0,9737.83,9737.83,0,-154.84,8
106,acc_349,momentum,25.0,85.0,8.0,3.0,50.0,0.0,9733.71,511.97,9221.74,-305.97,17
107,acc_450,momentum,36.0,85.0,15.0,3.0,60.0,0.0,9731.32,536.05,9195.27,-382.9,11
108,acc_111,dip,28.0,68.0,12.0,3.0,60.0,168.0,9723.02,9723.02,0,-81.21,8
109,acc_412,momentum,33.0,72.0,4.0,3.0,80.0,336.0,9722.87,395.13,9327.74,-74.37,14
110,acc_117,dip,28.0,76.0,6.0,5.0,40.0,336.0,9722.74,9722.74,0,-153.88,8
111,acc_094,dip,25.0,80.0,2.0,5.0,20.0,0.0,9722.13,9722.13,0,-244.28,4
112,acc_179,dip,36.0,60.0,15.0,2.0,30.0,0.0,9715.58,3077.41,6638.17,24.98,46
113,acc_292,momentum,18.0,76.0,8.0,3.0,80.0,336.0,9714.03,360.5,9353.53,-393.66,7
114,acc_313,momentum,22.0,72.0,6.0,5.0,10.0,168.0,9709.4,4647.2,5062.2,-152.4,37
115,acc_370,momentum,28.0,80.0,6.0,3.0,50.0,720.0,9708.98,645.5,9063.48,-202.92,26
116,acc_180,dip,36.0,64.0,3.0,5.0,80.0,168.0,9705.49,394.32,9311.17,104.13,18
117,acc_007,dip,15.0,64.0,10.0,1.0,60.0,72.0,9704.66,9704.66,0,-237.66,2
118,acc_015,dip,15.0,72.0,15.0,1.5,60.0,72.0,9704.66,9704.66,0,-237.66,2
119,acc_023,dip,15.0,85.0,3.0,2.0,60.0,72.0,9704.66,9704.66,0,-237.66,2
120,acc_031,dip,18.0,64.0,5.0,3.0,60.0,72.0,9704.66,9704.66,0,-237.66,2
121,acc_047,dip,18.0,80.0,15.0,1.0,60.0,168.0,9704.66,9704.66,0,-237.66,2
122,acc_055,dip,22.0,64.0,3.0,1.5,60.0,168.0,9704.66,9704.66,0,-237.66,2
123,acc_063,dip,22.0,72.0,5.0,2.0,60.0,168.0,9704.66,9704.66,0,-237.66,2
124,acc_071,dip,22.0,80.0,8.0,3.0,60.0,168.0,9704.66,9704.66,0,-237.66,2
125,acc_416,momentum,33.0,76.0,5.0,5.0,40.0,72.0,9703.68,776.63,8927.05,37.56,37
126,acc_150,dip,30.0,85.0,12.0,1.5,20.0,0.0,9702.17,6134.29,3567.88,-322.55,10
127,acc_200,dip,36.0,85.0,12.0,2.0,30.0,720.0,9698.63,1720.99,7977.64,-300.1,37
128,acc_125,dip,28.0,85.0,12.0,1.0,40.0,336.0,9685.08,5592.56,4092.51,-496.92,7
129,acc_142,dip,30.0,76.0,8.0,1.0,20.0,0.0,9683.07,7793.5,1889.57,-166.5,11
130,acc_317,momentum,22.0,76.0,8.0,5.0,50.0,0.0,9678.76,884.15,8794.61,-181.89,16
131,acc_275,momentum,15.0,85.0,12.0,5.0,30.0,72.0,9675.13,1193.87,8481.26,-467.24,23
132,acc_109,dip,28.0,68.0,4.0,3.0,40.0,336.0,9671.63,9671.63,0,-189.91,8
133,acc_134,dip,30.0,68.0,4.0,5.0,20.0,0.0,9671.55,7784.43,1887.12,-191.59,11
134,acc_037,dip,18.0,72.0,2.0,5.0,40.0,336.0,9664.42,9664.42,0,-298.53,2
135,acc_166,dip,33.0,76.0,4.0,3.0,20.0,0.0,9663.02,6221.85,3441.17,-130.58,22
136,acc_168,dip,33.0,76.0,12.0,3.0,30.0,720.0,9656.51,3758.85,5897.66,-254.65,21
137,acc_446,momentum,36.0,80.0,12.0,3.0,20.0,168.0,9655.75,2158.93,7496.82,-353.13,33
138,acc_080,dip,25.0,64.0,3.0,2.0,30.0,720.0,9648.97,9648.97,0,-294.36,4
139,acc_088,dip,25.0,72.0,5.0,3.0,30.0,720.0,9648.97,9648.97,0,-294.36,4
140,acc_171,dip,33.0,80.0,10.0,1.5,30.0,0.0,9647.6,4770.23,4877.37,-65.65,22
141,acc_169,dip,33.0,80.0,3.0,1.5,10.0,72.0,9642.13,7834.32,1807.81,-238.76,22
142,acc_465,momentum,40.0,76.0,3.0,3.0,10.0,336.0,9641.63,4714.37,4927.25,-189.67,55
143,acc_265,momentum,15.0,76.0,2.0,3.0,10.0,168.0,9638.8,4565.56,5073.24,-117.11,63
144,acc_122,dip,28.0,80.0,15.0,2.0,50.0,336.0,9631.98,4578.11,5053.87,-596.37,7
145,acc_154,dip,33.0,60.0,15.0,1.5,50.0,336.0,9631.07,2444.51,7186.56,23.93,22
146,acc_433,momentum,36.0,68.0,3.0,5.0,10.0,336.0,9626.98,4738.0,4888.97,-160.44,51
147,acc_368,momentum,28.0,76.0,15.0,3.0,40.0,72.0,9623.06,1058.74,8564.33,-421.05,20
148,acc_195,dip,36.0,80.0,5.0,5.0,30.0,0.0,9621.95,2689.98,6931.97,-150.32,35
149,acc_139,dip,30.0,72.0,10.0,2.0,30.0,0.0,9621.12,6795.35,2825.77,-156.65,11
150,acc_271,momentum,15.0,80.0,10.0,3.0,60.0,336.0,9620.34,414.67,9205.67,-353.83,18
151,acc_147,dip,30.0,80.0,15.0,3.0,30.0,0.0,9616.98,4614.54,5002.45,-438.77,10
152,acc_106,dip,28.0,64.0,6.0,1.0,50.0,336.0,9615.37,9615.37,0,-217.23,8
