date,acc_102,acc_125,acc_138,acc_487,acc_422,acc_425,acc_105,acc_115,acc_497,acc_121,hodl
2026-07-03,10179.11,10179.11,10328.25,10170.17,9987.21,9966.92,10179.11,10179.11,10335.12,10200.43,11720.14
2026-07-03,10179.11,10179.11,10328.25,10176.55,9987.21,9966.92,10179.11,10179.11,10347.14,10200.43,11720.14
2026-07-03,10179.11,10179.11,10328.25,10207.72,10030.49,10013.58,10179.11,10179.11,10387.75,10200.43,11720.14
2026-07-03,10179.11,10179.11,10328.25,10213.48,10026.13,10009.41,10179.11,10179.11,10349.45,10200.43,11720.14
2026-07-03,10166.91,10166.91,10315.87,14807.98,14549.52,15357.52,10166.91,10166.91,15007.4,10191.26,11720.14
2026-07-03,10166.91,10166.91,10315.87,14685.46,14419.64,15193.87,10166.91,10166.91,14865.85,10191.26,11720.14
2026-07-03,10166.91,10166.91,10315.87,14679.99,14409.17,15187.46,10166.91,10166.91,14860.29,10191.26,11720.14
2026-07-03,10166.91,10166.91,10315.87,14679.32,14408.31,15187.3,10166.91,10166.91,14860.16,10191.26,11720.14
2026-07-03,10166.91,10166.91,10315.87,14671.62,14405.36,15187.3,10166.91,10166.91,14857.8,10191.26,11720.14
2026-07-04,41213.36,41213.36,41817.18,50618.78,49018.47,56738.36,41213.36,41213.36,50824.15,33524.87,11720.14
2026-07-04,40763.04,40763.04,41360.26,50083.15,48515.09,56135.98,40763.04,40763.04,50288.07,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,50101.01,48520.42,56138.71,40763.04,40763.04,50317.9,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49814.39,48520.48,56138.07,40763.04,40763.04,49981.3,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,50583.07,48730.29,56390.17,40763.04,40763.04,50753.72,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,50838.81,49795.01,57678.53,40763.04,40763.04,51012.05,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,50758.56,49448.17,57258.14,40763.04,40763.04,50845.85,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49784.49,48980.59,56698.43,40763.04,40763.04,49908.33,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49801.78,49077.03,56814.53,40763.04,40763.04,49881.91,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49816.29,48412.76,56016.54,40763.04,40763.04,49975.37,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49682.83,48419.45,56024.35,40763.04,40763.04,49617.46,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49723.77,48491.68,56108.51,40763.04,40763.04,49021.4,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49674.52,48896.94,56594.67,40763.04,40763.04,49332.26,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,50322.84,49463.44,57279.52,40763.04,40763.04,49563.4,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,50584.34,49004.9,56726.1,40763.04,40763.04,48937.19,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,50640.55,49600.76,57441.86,40763.04,40763.04,49464.37,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49953.62,49167.93,56924.39,40763.04,40763.04,48958.84,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49978.15,49722.68,57592.42,40763.04,40763.04,49530.61,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49868.28,48781.16,56464.3,40763.04,40763.04,48658.8,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49877.19,48405.38,56016.54,40763.04,40763.04,48378.41,33186.42,11720.14
2026-07-04,40763.04,40763.04,41360.26,49833.07,47857.01,55362.55,40763.04,40763.04,47927.51,33186.42,11720.14
2026-07-04,40740.89,40740.89,41337.79,49824.24,47919.09,55435.1,40740.89,40740.89,46903.68,33172.89,11720.14
2026-07-04,40987.97,40987.97,41588.49,49804.18,47939.65,55446.97,40987.97,40987.97,46695.25,33323.76,11720.14
2026-07-04,40987.97,40987.97,41588.49,49786.47,47990.35,55507.83,40987.97,40987.97,46768.43,33323.76,11720.14
2026-07-05,40827.7,40827.7,41425.87,50058.93,48151.0,55709.1,40827.7,40827.7,46734.7,33225.9,11720.14
2026-07-05,40937.89,40937.89,41537.67,50124.55,47910.74,55415.61,40937.89,40937.89,46885.52,33293.18,11720.14
2026-07-05,40607.34,40607.34,41202.28,50002.9,47577.63,55033.7,40607.34,40607.34,46656.32,33091.35,11720.14
2026-07-05,40867.77,40867.77,41466.53,50057.92,47651.69,55109.76,40867.77,40867.77,46521.9,33250.36,11720.14
