timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-08-26T11:18:41+00:00,BTCINR,buy,7858809.240900,0.00025000,1964.70,1.96,0.00,
2026-08-26T11:18:41+00:00,ETHINR,buy,246551.013900,0.00650000,1602.58,1.60,0.00,
2026-08-26T11:18:41+00:00,BNBINR,buy,70431.898350,0.01800000,1267.77,1.27,0.00,
2026-08-26T11:18:41+00:00,SOLINR,buy,9736.565850,0.10500000,1022.34,1.02,0.00,
2026-08-26T11:18:41+00:00,USDTINR,buy,99.639795,8.29000000,826.01,0.83,0.00,
2026-08-26T11:18:41+00:00,XRPINR,buy,142.374151,4.60000000,654.92,0.65,0.00,
2026-08-26T11:18:41+00:00,LINKINR,buy,1149.054240,0.46000000,528.56,0.53,0.00,
2026-08-26T23:58:26+00:00,SOLINR,sell,10058.068450,0.10500000,1056.10,1.06,10.56,31.68
2026-08-26T23:58:26+00:00,TRUMPINR,buy,235.267575,2.69100000,633.11,0.63,0.00,
2026-08-26T23:58:26+00:00,TRBINR,buy,1806.102600,0.28000000,505.71,0.51,0.00,
2026-08-27T10:17:06+00:00,BTCINR,sell,7933415.707800,0.00025000,1983.35,1.98,19.83,46.38
2026-08-27T10:17:06+00:00,ETHINR,sell,251374.250000,0.00650000,1633.93,1.63,16.34,74.5
2026-08-27T10:17:06+00:00,SOLINR,buy,10447.521150,0.10700000,1117.88,1.12,0.00,
2026-08-27T10:17:06+00:00,LINKINR,sell,1178.430490,0.46000000,542.08,0.54,5.42,86.94
2026-08-27T10:17:06+00:00,TRUMPINR,sell,232.623630,2.69100000,625.99,0.63,6.26,78.57
2026-08-27T10:17:06+00:00,SUIINR,buy,77.191576,14.60000000,1127.00,1.13,0.00,
2026-08-27T10:17:06+00:00,ICPINR,buy,246.223050,3.66000000,901.18,0.90,0.00,
2026-08-27T10:17:06+00:00,NEARINR,buy,192.866385,3.70000000,713.61,0.71,0.00,
2026-08-27T10:17:06+00:00,FARTCOININR,buy,20.710350,27.96000000,579.06,0.58,0.00,
