timestamp_utc,asset,side,price_inr,quantity,notional_inr,fee_inr,tds_inr,realized_pnl_inr
2026-08-29T07:03:19+00:00,BTCINR,buy,7815335.915100,0.00051000,3985.82,3.99,0.00,
2026-08-29T07:03:19+00:00,ETHINR,buy,245569.323300,0.00970000,2382.02,2.38,0.00,
2026-08-29T07:03:19+00:00,BNBINR,buy,69199.682550,0.02000000,1383.99,1.38,0.00,
2026-08-29T07:03:19+00:00,SOLINR,buy,10441.017900,0.08500000,887.49,0.89,0.00,
2026-08-29T07:03:19+00:00,USDTINR,buy,100.420185,5.38000000,540.26,0.54,0.00,
2026-08-30T17:04:10+00:00,ETHINR,sell,252898.787350,0.00970000,2453.12,2.45,24.53,66.26
2026-08-30T17:04:10+00:00,SOLINR,sell,10660.467100,0.08500000,906.14,0.91,9.06,83.12
2026-08-30T17:04:10+00:00,LINKINR,buy,1176.017715,1.40000000,1646.42,1.65,0.00,
2026-08-30T17:04:10+00:00,XRPINR,buy,142.515222,6.90000000,983.36,0.98,0.00,
2026-08-30T17:04:10+00:00,TRUMPINR,buy,259.759815,2.30900000,599.79,0.60,0.00,
2026-08-30T18:06:20+00:00,TRUMPINR,sell,254.872500,2.30900000,588.50,0.59,5.89,70.65
2026-08-30T18:06:20+00:00,ICPINR,buy,248.144010,2.38000000,590.58,0.59,0.00,
